,Coupon,Restauarant ID,Start Date,End Date,Orders with Discount,Discounted Orders Revenue ,Discount Spend,Average Order Value (Discounted Orders),New User Orders ,Returning User Orders,Dormant User Orders
26,SwiggyOne EO,231392.0,-,-,27.0,15528.0,1562.0,575.0,5.0,22.0,5.0
27,SwiggyOne EO,408.0,-,-,11.0,8455.0,863.0,769.0,6.0,5.0,3.0
28,MISSEDYOU,4780.0,2023-01-02 00:00:00,2023-05-31 00:00:00,153.0,41070.0,9088.0,268.0,0.0,153.0,106.0
29,MISSEDYOU,180801.0,2023-01-02 00:00:00,2023-03-31 00:00:00,222.0,61122.0,5607.0,275.0,0.0,222.0,159.0
30,MISSEDYOU,330114.0,2022-09-26 00:00:00,2023-03-31 00:00:00,39.0,6104.0,3818.0,157.0,0.0,39.0,18.0
31,MISSEDYOU,408.0,2022-09-26 00:00:00,2023-03-31 00:00:00,32.0,8475.0,3142.0,265.0,0.0,32.0,27.0
32,MISSEDYOU,445384.0,2022-09-26 00:00:00,2023-03-31 00:00:00,31.0,6387.0,3084.0,206.0,0.0,31.0,19.0
33,MISSEDYOU,231392.0,2022-09-26 00:00:00,2023-03-31 00:00:00,30.0,8370.0,2101.0,279.0,0.0,30.0,21.0
34,MISSEDYOU,180796.0,2022-09-26 00:00:00,2023-03-31 00:00:00,5.0,866.0,500.0,173.0,0.0,5.0,2.0
35,MISSEDYOU,570269.0,2022-12-22 00:00:00,2023-03-31 00:00:00,6.0,1152.0,480.0,192.0,0.0,6.0,2.0
36,MISSEDYOU,313834.0,2022-12-22 00:00:00,2023-03-31 00:00:00,2.0,413.0,147.0,207.0,0.0,2.0,0.0
37,MISSEDYOU,444423.0,2022-12-22 00:00:00,2023-03-31 00:00:00,1.0,371.0,120.0,371.0,0.0,1.0,0.0
38,MISSEDYOU,570268.0,2022-10-04 00:00:00,2023-03-31 00:00:00,1.0,89.0,113.0,89.0,0.0,1.0,0.0
39,MISSEDYOU,600278.0,2022-12-29 00:00:00,2023-01-12 00:00:00,1.0,176.0,63.0,176.0,0.0,1.0,1.0
40,PARTY,330114.0,2022-09-26 00:00:00,2023-03-31 00:00:00,29.0,19153.0,4357.0,660.0,21.0,8.0,1.0
41,PARTY,408.0,2022-09-26 00:00:00,2023-03-31 00:00:00,20.0,17923.0,4228.0,896.0,10.0,10.0,3.0
42,PARTY,313834.0,2022-12-22 00:00:00,2023-03-31 00:00:00,22.0,12737.0,3854.0,579.0,20.0,2.0,0.0
43,PARTY,445384.0,2022-09-26 00:00:00,2023-03-31 00:00:00,19.0,14328.0,3260.0,754.0,11.0,8.0,1.0
44,PARTY,231392.0,2022-09-26 00:00:00,2023-03-31 00:00:00,14.0,11902.0,2692.0,850.0,5.0,9.0,3.0
45,PARTY,180796.0,2022-09-26 00:00:00,2023-03-31 00:00:00,4.0,3272.0,725.0,818.0,3.0,1.0,0.0
46,PARTY,600278.0,2022-10-04 00:00:00,2023-03-31 00:00:00,4.0,1965.0,572.0,491.0,4.0,0.0,0.0
47,PARTY,570269.0,2022-12-22 00:00:00,2023-03-31 00:00:00,2.0,940.0,273.0,470.0,2.0,0.0,0.0
48,PARTY,180801.0,2023-01-02 00:00:00,2023-03-31 00:00:00,2.0,2462.0,200.0,1231.0,2.0,0.0,0.0
49,PARTY,4780.0,2023-01-02 00:00:00,2023-03-31 00:00:00,1.0,1114.0,113.0,1114.0,1.0,0.0,0.0
50,PARTY,444423.0,2022-12-22 00:00:00,2023-03-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
51,FLATDEAL,4780.0,2023-01-11 00:00:00,2024-03-31 00:00:00,92.0,70856.0,7934.0,770.0,17.0,75.0,10.0
52,FLATDEAL,180801.0,2023-01-11 00:00:00,2024-03-31 00:00:00,100.0,80400.0,6581.0,804.0,50.0,50.0,16.0
53,GUILTFREEJAN,4780.0,2023-01-15 00:00:00,2023-01-31 00:00:00,22.0,8492.0,1598.0,386.0,5.0,17.0,5.0
